city_name,candidate_num,knee_cost,knee_emission,knee_built_cs,knee_fast_per_cs,knee_slow_per_cs,knee_extra_large,knee_extra_medium,knee_extra_small,large_model,medium_model,small_model,knee_built_ratio
赣州市,116,215.8305289,7046.964363,13,10.46153846,18,58,1,0,4,2,1,0.11
郴州市,114,306.3589588,8371.295783,19,8.263157895,15.94736842,14,0,0,4,2,1,0.17
东营市,114,313.6691834,9698.540268,20,9.55,15.65,55,1,0,4,2,1,0.18
十堰市,113,144.9858033,3766.848138,17,5.588235294,12.05882353,11,1,2,4,2,1,0.15
江门市,111,160.1860057,4361.404793,16,2.875,13.8125,8,1,0,4,2,2,0.14
台州市,107,152.0253254,6105.526305,13,8,17.76923077,55,1,2,4,2,1,0.12
徐州市,106,83.0752135,3141.101013,14,3.428571429,13.35714286,31,0,0,4,2,1,0.13
镇江市,102,176.2211018,6281.759382,18,6.777777778,16.11111111,67,5,0,4,2,1,0.18
宝鸡市,100,391.8557799,12909.30724,25,11.24,17.44,110,17,0,4,2,1,0.25
泰州市,98,223.1908526,7945.180293,16,12.9375,18.9375,106,1,1,4,2,1,0.16
宜昌市,98,104.1477276,4070.687486,13,7.307692308,13.23076923,43,5,0,4,2,1,0.13
咸阳市,96,174.9595867,5861.549432,11,14.09090909,20,93,17,0,4,2,1,0.11
保定市,96,166.9778277,5343.961625,13,8.076923077,18.23076923,18,1,0,4,2,1,0.14
邯郸市,96,285.8558046,10400.74487,23,10.47826087,17.26086957,181,5,0,4,2,1,0.24
梅州市,95,123.557824,4356.531703,13,6.230769231,15.53846154,61,0,0,4,2,0,0.14
枣庄市,92,93.62513958,3625.309585,14,4.428571429,14.35714286,28,2,0,4,2,1,0.15
舟山市,91,150.88978,5957.643089,14,8.5,16.07142857,88,0,0,4,2,1,0.15
吉林市,90,180.9710541,5442.944552,12,9.583333333,17.16666667,12,4,0,4,2,1,0.13
鞍山市,90,229.8255611,6058.045367,10,13.8,18.9,7,2,0,4,2,1,0.11
张家口市,88,175.8445061,5382.126861,17,5.882352941,14.29411765,49,2,2,4,2,1,0.19
莆田市,88,151.6172303,5435.21887,21,4.857142857,10.28571429,84,0,0,4,2,1,0.24
银川市,85,208.0278239,7866.916667,16,12.625,16.4375,88,3,0,4,2,1,0.19
衢州市,85,49.41347393,1579.425511,14,0.428571429,8.357142857,12,1,0,4,2,1,0.16
秦皇岛市,84,164.0460676,5922.030985,9,13.77777778,19.44444444,69,6,0,4,2,2,0.11
三亚市,84,145.8552129,5533.361849,12,8.083333333,15.83333333,63,0,0,4,2,1,0.14
泉州市,83,168.1762345,6591.94713,10,12.9,19.8,51,1,0,4,2,1,0.12
营口市,82,102.9989594,3294.741765,11,7.181818182,17.63636364,1,5,0,4,2,1,0.13
滨州市,82,105.3457004,3999.961383,10,6.5,17.1,33,0,0,4,2,2,0.12
自贡市,82,284.3791504,6483.381392,8,16,19.875,8,2,0,4,2,1,0.1
宜宾市,81,209.6833341,6900.062739,15,11.66666667,19.2,74,2,0,4,2,1,0.19
清远市,80,128.9943371,4119.746747,12,3.333333333,14.08333333,19,0,0,4,2,1,0.15
肇庆市,80,119.1629147,4578.874778,10,7.5,14.5,33,0,0,4,2,1,0.12
上饶市,78,101.7078073,2748.981728,12,1.916666667,15.58333333,1,3,0,4,2,1,0.15
牡丹江市,78,169.5425517,5001.545121,12,9.583333333,16.5,3,2,0,4,2,1,0.15
岳阳市,77,197.3897914,7011.836748,11,15.45454545,18.81818182,45,5,0,4,2,1,0.14
桂林市,77,125.2850196,3859.661389,11,3.909090909,15.72727273,10,1,0,4,2,1,0.14
三明市,76,109.4264407,2614.056804,11,5.181818182,13.36363636,5,1,0,4,2,1,0.14
承德市,76,165.1977379,5260.934822,8,11.75,19,15,1,0,4,2,1,0.11
南充市,76,113.0252956,3247.076024,9,9.111111111,15,21,0,0,4,2,1,0.12
遵义市,76,251.6011822,8395.68718,9,16.22222222,20,58,2,0,4,2,1,0.12
菏泽市,75,192.4411744,7216.677922,10,15.5,19.1,101,1,0,4,2,1,0.13
盘锦市,75,137.7627352,4940.977132,9,12.33333333,18.88888889,25,0,0,4,2,1,0.12
襄阳市,74,156.4275638,6251.607306,12,9.5,15.83333333,62,1,0,4,2,1,0.16
九江市,73,136.8962885,3331.546498,9,5.666666667,18.22222222,4,0,0,4,2,1,0.12
荆州市,72,158.351248,5509.390163,9,12.22222222,19,35,8,0,4,2,1,0.12
蚌埠市,71,139.2237119,4327.753605,9,11.11111111,18.11111111,6,1,0,4,2,1,0.13
衡阳市,70,241.9475337,7649.731375,14,11.92857143,19.92857143,84,6,0,4,2,1,0.2
龙岩市,70,142.9266743,5097.908889,9,11.66666667,17.88888889,49,3,0,4,2,1,0.13
茂名市,69,128.0999266,4876.514707,9,10,19.55555556,48,0,0,4,1,0,0.13
铜陵市,69,151.3159921,4995.238343,8,13,18.75,25,2,0,4,2,1,0.12
眉山市,69,121.290401,4311.247759,12,8.083333333,16.33333333,53,4,0,4,2,1,0.17
开封市,68,178.7080236,6263.105295,10,15.5,20,39,8,1,4,2,1,0.15
大同市,67,226.3683785,7595.166929,12,14.83333333,19,68,0,0,4,2,1,0.18
内江市,67,107.1745393,2321.049389,11,5.272727273,14.18181818,0,4,0,4,2,1,0.16
抚顺市,66,181.101804,5749.056798,7,14,20,9,1,1,4,2,1,0.11
南阳市,66,181.8199819,9607.448368,19,11.26315789,17.89473684,60,11,0,0,2,1,0.29
宜春市,65,95.51786555,2967.925064,9,7.111111111,16,14,0,0,4,2,1,0.14
潮州市,64,51.54838629,1751.707027,9,1.555555556,11.66666667,10,0,0,4,2,1,0.14
大庆市,63,153.0580478,5157.127272,8,14.5,19.875,41,0,0,4,1,1,0.13
包头市,63,153.3626819,4150.568011,11,12.45454545,17.45454545,9,0,0,4,2,1,0.17
淮南市,63,125.4164755,4941.76525,7,15.42857143,20,65,1,0,4,2,1,0.11
鄂尔多斯市,62,102.3310443,4307.348765,9,12.22222222,19.88888889,19,8,0,4,2,1,0.15
呼和浩特市,60,373.3496976,16717.80356,24,13.04166667,19.41666667,57,2,0,0,2,0,0.4
玉溪市,59,38.53993161,1575.152234,9,5.222222222,12.66666667,11,20,0,4,2,1,0.15
南平市,59,89.63142993,2377.04969,9,5.222222222,13.77777778,17,5,0,4,2,1,0.15
天水市,59,211.5468754,8083.159886,11,12,18.72727273,91,8,0,4,2,1,0.19
曲靖市,58,138.0955189,4496.718384,7,12,20,19,3,0,4,2,1,0.12
荆门市,57,150.9343768,4255.724125,5,18,20,13,0,0,4,2,1,0.09
阜阳市,57,75.74958945,3389.385518,10,7.9,15,31,2,0,4,2,1,0.18
常德市,56,122.003983,4879.457708,6,18.83333333,20,30,9,0,4,2,1,0.11
淮安市,56,55.5849131,2428.916505,7,6.571428571,16.28571429,20,1,0,4,2,2,0.12
新乡市,55,147.5954639,4562.71966,9,14,19,6,15,0,4,2,1,0.16
益阳市,54,103.9983965,3543.969376,6,17.83333333,20,26,8,0,4,2,1,0.11
宿迁市,54,174.2732782,6967.797737,10,15.5,19.5,65,0,0,4,2,1,0.19
齐齐哈尔市,53,165.7690038,5018.652004,9,14.11111111,16.33333333,11,0,0,4,2,1,0.17
湘潭市,53,89.71280279,2476.708446,9,3.222222222,14.55555556,3,0,0,4,2,1,0.17
柳州市,52,173.219417,6635.145893,11,12.09090909,19.27272727,89,5,0,4,2,1,0.21
商丘市,52,143.3301358,6094.095777,10,9.8,17.1,57,10,0,4,2,1,0.19
焦作市,51,85.52627471,2551.487198,5,12,19.6,7,0,0,4,2,1,0.1
德州市,51,123.4577644,4048.390741,8,13.625,16.375,25,0,0,4,2,1,0.16
平顶山市,51,155.8511141,5217.898861,7,11.42857143,18.42857143,10,0,0,4,2,1,0.14
达州市,51,150.9047994,5141.572597,7,15.85714286,19.42857143,34,1,0,4,2,1,0.14
马鞍山市,51,87.66580896,3443.207407,6,13.33333333,19.16666667,23,8,0,4,2,1,0.12
安庆市,50,92.69584964,3490.368494,7,13.28571429,19.57142857,31,3,0,4,2,1,0.14
